Key,en,es,ar
appLSendMoneyLog,Send Money Log,Enviar registro de dinero,إرسال سجل الأموال
appLAddMoneyLog,Add Money Log,Agregar registro de dinero,إضافة سجل الأموال
appLSupport,Support,Apoyo,يدعم
appLAboutUs,About us,Sobre nosotros,معلومات عنا
appLPrivacyPolicy,Privacy & Policy,Política de privacidad,سياسة الخصوصية
appLShareApp,Share App,Compartir aplicación,شارك التطبيق
appLRateUs,Rate us,Nos califica,قيمنا
appLChangeLanguage,Change Language,Cambiar idioma,تغيير اللغة
appLSignOut,SignOut,Desconectar,خروج
appLSignOutDesc,Do You Want to Sign Out From Account?,¿Quiere cerrar sesión en la cuenta?,هل تريد تسجيل الخروج من الحساب؟
appLWithdrawLog,Withdraw Log,Retirar registro,سجل السحب
appLKyc,KYC,KYC,اعرف عميلك
appLMoneySend,Money Send,Envío de dinero,إرسال الأموال
appLMoneyWithdraw,Money Withdraw,Retiro de dinero,سحب الأموال
appLVerifyAccount,Verify Account,Verificar Cuenta,التحقق من الحساب
appLVerifyAccountDescription,Verify your account using NID/Passport/Driving License,Verifique su cuenta usando NID/Pasaporte/Licencia de conducir,قم بالتحقق من حسابك باستخدام NID/جواز السفر/رخصة القيادة
appLChooseOne,Choose One,Elige uno,اختر واحدًا
appLNidCard,NID Card,Tarjeta identificativa,بطاقة الهوية الوطنية
appLPassport,Passport,Pasaporte,جواز سفر
appLDrivingLicense,Driving License,Licencia de conducir,رخصة قيادة
appLUpload,Upload,Subir,رفع
appLDMy,DD-MM-YYYY,DD-MM-AAAA,يوم-شهر-سنة
appLPersonal,Personal,Personal,شخصي
appLBusiness,Business,Negocio,عمل
appLAccountType,Account Type,Tipo de cuenta,نوع الحساب
appLCompanyName,Company Name,nombre de empresa,اسم الشركة
appLEnterCompanyName,Enter Company Name,Introduzca el nombre de la empresa,أدخل اسم الشركة
appLEnableTwoFASecurity,Enable Two FA Security,Habilitar seguridad de dos FA,تمكين اثنين من الأمن FA
appLDisableTwoFASecurity,Disable Two FA Security,Deshabilitar la seguridad de dos FA,تعطيل اثنين من الأمن FA
appLEnable,Enable,Permitir,يُمكَِن
appLDisable,Disable,Desactivar,إبطال
appLSelectIDType,Select ID Type,Seleccione el tipo de identificación,حدد نوع الهوية
appLCopyYourReqLink,Copy your request link,Copia el enlace de tu solicitud,انسخ رابط طلبك
appLExchangeFrom,Exchange From,Intercambiar desde,الصرف من
appLExchangeTo,Exchange To,Intercambiar a,تبادل ل
appLSelectFileFirst,Select File First,Seleccione el archivo primero,حدد الملف أولاً
appLTrxNo,Trx No,Trx No,رقم تركس
appLGatewayName,Gateway Name,Nombre de la puerta de enlace,اسم البوابة
appLConversationAmount,Conversation Amount,Cantidad de conversación,مبلغ المحادثة
appLWillGet,Will Get,Obtendrá,سوف تحصل
appLTotalPayableAmount,Total Payable Amount,Monto total a pagar,إجمالي المبلغ المستحق
appLRecipientsAmount,Recipients Amount,Cantidad de destinatarios,مبلغ المستلمين
appLCreateVoucher,Create Voucher,Crear cupón,إنشاء قسيمة
appLRedeem,Redeem,Canjear,يسترد
appLVoucherCode,Voucher Code,Código de cupón,رمز القسيمة
appLMyVoucher,My Voucher,Mi vale,قسيمتي
appLCopyYourVoucherCode,Copy your voucher code,Copia tu código de cupón,انسخ رمز القسيمة الخاصة بك
appLEnteredAmount,Entered Amount,Monto ingresado,المبلغ المدخل
appLTotalPaid,Total Paid,Total pagado,مجموع المبالغ المدفوعة
appLRedeemVoucher,Redeem Voucher,Canjear cupón,استرداد القسيمة
appLRecipient,Recipient,Recipiente,متلقي
appLMyRecipient,My Recipient,Mi destinatario,المستلم الخاص بي
appLAddRecipient,Add Recipient,Agregar destinatario,إضافة مستلم
appLUpdateRecipient,Update Recipient,Actualizar destinatario,تحديث المستلم
appLSearchUserLabel,UserName/Email,Nombre de usuario/correo electrónico,اسم المستخدم/البريد الإلكتروني
appLSearchUserHint,Enter UserName/Email,Ingrese el nombre de usuario/correo electrónico,أدخل اسم المستخدم/البريد الإلكتروني
appLSelect,Select,Seleccionar,يختار
appLSelectRecipientFirst,Select Recipient First,Seleccione el destinatario primero,حدد المستلم أولاً
appLRecipientEmail,Recipient Email,Receptor de E-mail,البريد الإلكتروني المستلم
appLCode,Code,Código,شفرة
appLCreatedBy,Created By,Creado por,انشأ من قبل
appLPaidBy,Paid By,Pagado por,المدفوعة بواسطة
appLAction,Action,Acción,فعل
appLLog,Log,Registro,سجل
appLCancelRedeem,Cancel Redeem,Cancelar Canjear,إلغاء الاسترداد
appLCancelRedeemDesc,Do You Want to Cancel this Redeem?,¿Quiere cancelar este canje?,هل تريد إلغاء هذا الاسترداد؟
appLLink,Link,Enlace,وصلة
appLTransactionId,Transaction Id,ID de transacción,رقم المعاملة
appLReceiver,Receiver,Receptor,المتلقي
appLLanguageChange,Language Change,Cambio de idioma,تغير اللغة
appLPending,Pending,Pendiente,قيد الانتظار
appLPaid,Paid,Pagado,مدفوع
appLToken ,Token or URL,Token o URL,الرمز المميز أو عنوان URL
appLEnterToken ,Enter Token or Url,Ingrese el token o la URL,أدخل الرمز المميز أو عنوان URL
appLWelcomeDescription,Welcome to Rise Up,Bienvenido a Rise Up,مرحبا بكم في واليتيوم
appLResend ,Resend,Reenviar,إعادة إرسال
appLPleaseFollowTheLimit,Please Follow The Transactions Limit,Siga el límite de transacciones,يرجى اتباع حد المعاملات
appLNoDataAvailable ,No Data Available,Datos no disponibles,لا تتوافر بيانات
appLRequestMoneyPayment,Request Money Payment,Solicitar pago de dinero,طلب دفع الأموال
appLAlert,Alert,Alerta,يُحذًِر
appLUnknown,Unknown,Desconocido,مجهول
appLHold,Hold,Sostener,يمسك
appLRejected,Rejected,Rechazado,مرفوض
appLWaiting,Waiting,Espera,منتظر
